game_id,team_id,opportunity_diff,ppp,opp_ppp,conversion_score
0022500082,1610612737,4.52,1.42,1.59,30.0
0022500084,1610612765,5.36,1.45,1.51,66.2
0022500085,1610612740,5.72,1.46,1.44,60.3
0022500089,1610612757,8.84,1.26,1.35,31.5
0022500090,1610612753,2.96,1.24,1.24,40.0
0022500092,1610612761,4.08,1.3,1.65,35.4
0022500093,1610612745,18.0,1.27,1.47,68.6
0022500095,1610612740,13.32,1.35,1.3,59.2
0022500100,1610612753,5.76,1.16,1.58,52.5
0022500112,1610612757,24.36,1.25,1.43,56.7
0022500115,1610612737,7.56,1.52,1.68,60.4
0022500119,1610612742,5.96,1.35,1.39,55.4
0022500125,1610612752,7.56,1.29,1.67,68.0
0022500126,1610612758,2.84,1.17,1.44,24.5
0022500127,1610612746,2.28,1.1,1.56,25.6
0022500132,1610612758,4.52,1.42,1.68,57.0
0022500133,1610612754,8.04,1.23,1.5,60.8
0022500134,1610612740,4.6,1.45,1.9,30.0
0022500135,1610612762,4.68,1.55,1.7,60.0
0022500139,1610612744,3.72,1.33,1.47,51.5
0022500022,1610612739,5.56,1.26,1.37,42.6
0022500027,1610612740,6.52,1.73,1.63,54.5
0022500148,1610612740,2.64,1.45,2.06,56.7
0022500149,1610612751,3.96,1.15,1.69,60.0
0022500150,1610612762,13.08,1.27,1.56,60.2
0022500151,1610612737,2.48,1.19,1.23,31.7
0022500154,1610612759,13.44,1.81,1.72,43.3
0022500155,1610612748,2.72,1.69,1.46,30.0
0022500156,1610612751,7.32,1.32,1.68,58.8
0022500157,1610612754,17.04,1.28,1.51,75.6
0022500158,1610612738,4.68,1.4,1.28,57.3
0022500163,1610612757,8.16,1.33,1.54,54.3
0022500166,1610612753,4.04,1.44,1.42,59.2
0022500167,1610612755,5.76,1.23,1.4,35.9
0022500169,1610612756,5.24,1.3,1.85,41.3
0022500171,1610612755,2.72,1.57,1.49,49.3
0022500176,1610612763,3.48,1.64,1.43,30.0
0022500180,1610612760,2.56,1.44,1.41,47.1
0022500182,1610612746,6.84,1.67,1.23,34.4
0022500189,1610612754,5.84,1.27,1.74,53.8
0022500191,1610612749,3.32,1.5,1.54,36.5
0022500193,1610612753,2.08,1.32,1.48,60.0
0022500201,1610612739,5.84,1.63,1.63,89.2
0022500202,1610612741,3.24,1.58,1.46,32.3
0022500203,1610612742,12.04,1.42,1.53,56.7
0022500204,1610612740,4.8,1.37,1.48,60.0
0022500205,1610612762,3.24,1.44,1.3,51.9
0022500206,1610612746,10.2,1.36,1.5,60.6
0022500216,1610612763,7.16,1.52,2.1,58.0
0022500219,1610612740,8.76,1.77,1.53,63.8
0022500225,1610612739,6.96,1.52,1.49,41.8
0022500226,1610612754,7.88,1.51,1.85,60.0
0022500040,1610612751,10.8,1.36,1.2,56.2
0022500043,1610612766,19.08,1.43,1.64,62.1
0022500228,1610612763,10.84,1.34,1.2,30.0
0022500234,1610612758,5.76,1.65,1.69,42.6
0022500236,1610612753,3.2,1.2,1.25,70.0
0022500238,1610612757,9.48,1.27,1.67,90.4
0022500241,1610612749,2.36,1.33,1.42,13.2
0022500242,1610612754,5.6,1.37,1.6,60.0
0022500244,1610612752,5.84,1.29,1.46,49.5
0022500245,1610612766,11.16,1.3,1.24,42.6
0022500248,1610612743,6.64,1.4,2.05,89.3
0022500250,1610612751,10.44,1.55,1.35,48.1
0022500252,1610612763,3.24,1.4,1.74,30.0
0022500254,1610612757,2.12,1.36,1.75,55.1
0022500256,1610612766,8.56,1.52,1.71,61.0
0022500260,1610612740,10.76,1.38,1.44,61.5
0022500263,1610612757,25.92,1.42,1.76,60.0
0022500052,1610612740,7.32,1.39,1.35,41.4
0022500053,1610612750,12.76,1.21,1.27,60.0
0022500054,1610612745,3.92,1.4,1.68,51.0
0022500278,1610612746,4.64,1.32,1.54,54.5
0022500285,1610612751,3.16,1.38,1.5,50.9
0022500060,1610612765,11.28,1.48,1.49,65.4
0022500077,1610612758,4.48,1.42,1.46,79.4
0022500078,1610612742,4.36,1.66,1.46,54.6
0022500293,1610612738,8.8,1.48,1.51,57.9
0022500295,1610612741,8.2,1.35,1.27,28.9
0022500296,1610612748,8.04,1.42,1.51,30.0
0022500299,1610612756,11.2,1.64,1.96,77.2
0022500305,1610612757,5.2,1.47,1.52,47.7
0022500307,1610612758,12.0,1.51,1.41,63.4
0022500313,1610612746,12.12,1.59,1.74,53.2
0022500315,1610612743,4.76,1.55,1.72,64.2
0022500316,1610612745,3.32,1.25,1.53,65.0
0022500318,1610612764,4.6,1.57,1.69,54.3
0022500319,1610612757,11.84,1.66,1.51,48.1
0022500326,1610612753,4.8,1.3,1.4,49.8
0022500329,1610612741,8.32,1.21,1.4,40.0
0022500331,1610612765,10.32,1.59,1.48,60.0
0022500332,1610612748,5.64,1.35,1.63,39.6
0022500333,1610612744,2.88,2.08,1.18,30.0
0022500335,1610612751,2.84,1.67,1.58,45.2
0022500337,1610612740,2.68,1.31,1.61,53.3
0022500338,1610612747,9.48,1.39,1.57,30.0
0022500343,1610612762,6.96,1.55,2.1,47.1
0022500346,1610612756,14.0,1.34,1.51,41.1
0022500352,1610612739,2.16,1.06,1.45,39.2
0022500354,1610612748,7.84,1.79,1.49,41.6
0022500355,1610612746,6.04,1.32,1.49,75.5
0022500362,1610612755,2.56,1.28,1.23,70.0
0022500366,1610612740,2.44,1.62,1.93,69.2
0022501201,1610612748,6.32,1.24,1.27,57.1
0022501206,1610612738,14.84,1.4,1.65,60.0
