game_id,team_id,opportunity_diff,ppp,opp_ppp,conversion_score,ppp_advantage
0022500004,1610612759,-1.12,1.58,1.14,30.0,0.44000000000000017
0022500082,1610612761,-4.52,1.59,1.42,53.6,0.17000000000000015
0022500084,1610612741,-5.36,1.51,1.45,41.6,0.06000000000000005
0022500085,1610612763,-5.72,1.44,1.46,30.0,-0.020000000000000018
0022500089,1610612750,-8.84,1.35,1.26,30.0,0.09000000000000008
0022500090,1610612737,-2.96,1.24,1.24,30.4,0.0
0022500092,1610612749,-4.08,1.65,1.3,48.1,0.34999999999999987
0022500093,1610612765,-18.0,1.47,1.27,41.9,0.19999999999999996
0022500095,1610612759,-13.32,1.3,1.35,30.0,-0.050000000000000044
0022500099,1610612746,-1.16,1.71,1.51,36.1,0.19999999999999996
0022500100,1610612741,-5.76,1.58,1.16,30.0,0.42000000000000015
0022500102,1610612755,-1.24,1.49,1.45,30.8,0.040000000000000036
0022500112,1610612746,-24.36,1.43,1.25,24.6,0.17999999999999994
0022500115,1610612741,-7.56,1.68,1.52,60.0,0.15999999999999992
0022500119,1610612760,-5.96,1.39,1.35,16.7,0.039999999999999813
0022500125,1610612749,-7.56,1.67,1.29,30.4,0.3799999999999999
0022500126,1610612760,-2.84,1.44,1.17,1.7,0.27
0022500127,1610612744,-2.28,1.56,1.1,8.0,0.45999999999999996
0022500132,1610612741,-4.52,1.68,1.42,38.4,0.26
0022500133,1610612742,-8.04,1.5,1.23,30.0,0.27
0022500134,1610612743,-4.6,1.9,1.45,48.7,0.44999999999999996
0022500135,1610612757,-4.68,1.7,1.55,60.0,0.1499999999999999
0022500139,1610612749,-3.72,1.47,1.33,8.0,0.1399999999999999
0022500020,1610612737,-1.72,1.67,1.47,73.8,0.19999999999999996
0022500022,1610612761,-5.56,1.37,1.26,31.7,0.1100000000000001
0022500024,1610612747,-1.84,1.34,1.66,34.3,-0.31999999999999984
0022500027,1610612746,-6.52,1.63,1.73,42.3,-0.10000000000000009
0022500143,1610612750,-1.72,1.74,1.37,32.4,0.3699999999999999
0022500148,1610612760,-2.64,2.06,1.45,30.0,0.6100000000000001
0022500149,1610612755,-3.96,1.69,1.15,21.5,0.54
0022500150,1610612766,-13.08,1.56,1.27,30.0,0.29000000000000004
0022500151,1610612739,-2.48,1.23,1.19,14.0,0.040000000000000036
0022500154,1610612756,-13.44,1.72,1.81,30.0,-0.09000000000000008
0022500155,1610612747,-2.72,1.46,1.69,48.1,-0.22999999999999998
0022500156,1610612750,-7.32,1.68,1.32,60.0,0.3599999999999999
0022500157,1610612749,-17.04,1.51,1.28,32.9,0.22999999999999998
0022500158,1610612762,-4.68,1.28,1.4,59.0,-0.11999999999999988
0022500163,1610612747,-8.16,1.54,1.33,26.2,0.20999999999999996
0022500166,1610612737,-4.04,1.42,1.44,30.0,-0.020000000000000018
0022500167,1610612741,-5.76,1.4,1.23,40.5,0.16999999999999993
0022500168,1610612740,-1.96,1.67,1.39,30.0,0.28
0022500169,1610612744,-5.24,1.85,1.3,33.5,0.55
0022500171,1610612739,-2.72,1.49,1.57,47.7,-0.08000000000000007
0022500176,1610612745,-3.48,1.43,1.64,58.7,-0.20999999999999996
0022500180,1610612757,-2.56,1.41,1.44,48.8,-0.030000000000000027
0022500182,1610612756,-6.84,1.23,1.67,42.8,-0.43999999999999995
0022500033,1610612748,-1.72,1.61,1.09,47.7,0.52
0022500188,1610612759,-1.56,1.52,1.56,42.5,-0.040000000000000036
0022500189,1610612743,-5.84,1.74,1.27,60.0,0.47
0022500191,1610612745,-3.32,1.54,1.5,59.1,0.040000000000000036
0022500193,1610612738,-2.08,1.48,1.32,43.3,0.15999999999999992
0022500201,1610612748,-5.84,1.63,1.63,53.2,0.0
0022500202,1610612759,-3.24,1.46,1.58,30.0,-0.1200000000000001
0022500203,1610612749,-12.04,1.53,1.42,34.5,0.1100000000000001
0022500204,1610612756,-4.8,1.48,1.37,30.0,0.10999999999999988
0022500205,1610612750,-3.24,1.3,1.44,60.4,-0.1399999999999999
0022500206,1610612737,-10.2,1.5,1.36,34.0,0.1399999999999999
0022500216,1610612738,-7.16,2.1,1.52,41.9,0.5800000000000001
0022500219,1610612757,-8.76,1.53,1.77,48.5,-0.24
0022500225,1610612761,-6.96,1.49,1.52,27.8,-0.030000000000000027
0022500226,1610612756,-7.88,1.85,1.51,43.5,0.3400000000000001
0022500040,1610612753,-10.8,1.2,1.36,28.3,-0.16000000000000014
0022500043,1610612749,-19.08,1.64,1.43,30.0,0.20999999999999996
0022500228,1610612739,-10.84,1.2,1.34,42.2,-0.14000000000000012
0022500234,1610612759,-5.76,1.69,1.65,27.5,0.040000000000000036
0022500236,1610612745,-3.2,1.25,1.2,70.0,0.050000000000000044
0022500238,1610612742,-9.48,1.67,1.27,43.9,0.3999999999999999
0022500241,1610612739,-2.36,1.42,1.33,30.0,0.08999999999999986
0022500242,1610612765,-5.6,1.6,1.37,60.0,0.22999999999999998
