game_id,team_id,prop_tags,pace,ppp
0022500001,1610612760,"['High Assists', 'High FT Volume']",91.82,1.51
0022500001,1610612745,"['High Rebounds', 'High FT Volume']",91.82,1.23
0022500002,1610612744,"['High Assists', 'High FT Volume']",83.04,1.55
0022500080,1610612766,"['High Assists', 'High Rebounds', 'High FT Volume']",78.24,1.69
0022500082,1610612761,"['High Assists', 'High Rebounds', 'High FT Volume']",85.02,1.59
0022500084,1610612765,"['High Assists', 'High FT Volume']",76.26,1.45
0022500084,1610612741,"['High Assists', 'High FT Volume']",76.26,1.51
0022500085,1610612740,"['High Rebounds', 'High FT Volume']",86.28,1.46
0022500086,1610612749,"['High Assists', 'High FT Volume']",76.36,1.79
0022500087,1610612762,"['High Assists', 'High Rebounds', 'High FT Volume']",63.52,2.09
0022500087,1610612746,"['High Assists', 'High FT Volume']",63.52,1.66
0022500088,1610612756,"['High Rebounds', 'High FT Volume']",82.72,1.37
0022500006,1610612744,"['High Assists', 'High FT Volume']",89.08,1.63
0022500018,1610612752,"['High Rebounds', 'High FT Volume']",83.8,1.21
0022500019,1610612747,"['High Rebounds', 'High FT Volume']",78.16,1.47
0022500091,1610612751,"['High Assists', 'High Rebounds']",81.74,1.46
0022500091,1610612739,"['High Assists', 'High Rebounds', 'High FT Volume']",81.74,1.67
0022500092,1610612749,"['High Rebounds', 'High FT Volume']",81.54,1.65
0022500093,1610612745,"['High Rebounds', 'High FT Volume']",82.62,1.27
0022500094,1610612763,"['High Assists', 'High FT Volume']",73.0,1.51
0022500094,1610612748,"['High Assists', 'High Rebounds', 'High FT Volume']",73.0,2.07
0022500095,1610612740,"['High Rebounds', 'High FT Volume']",89.1,1.35
0022500097,1610612757,"['High Assists', 'High Rebounds', 'High FT Volume']",83.08,1.64
0022500097,1610612744,"['High Rebounds', 'High FT Volume']",83.08,1.47
0022500099,1610612756,"['High Rebounds', 'High FT Volume']",71.52,1.51
0022500099,1610612746,"['High Assists', 'High FT Volume']",71.52,1.71
0022500100,1610612753,"['High Rebounds', 'High FT Volume']",77.14,1.16
0022500102,1610612766,"['High Assists', 'High Rebounds', 'High FT Volume']",83.7,1.45
0022500102,1610612755,"['High Assists', 'High FT Volume']",83.7,1.49
0022500103,1610612763,"['High Assists', 'High FT Volume']",67.1,1.83
0022500104,1610612743,"['High Assists', 'High Rebounds', 'High FT Volume']",84.58,1.61
0022500105,1610612759,"['High Rebounds', 'High FT Volume']",78.2,1.44
0022500106,1610612765,"['High Rebounds', 'High FT Volume']",81.2,1.42
0022500109,1610612766,"['High Assists', 'High FT Volume']",82.42,1.58
0022500110,1610612750,"['High Rebounds', 'High FT Volume']",79.58,1.46
0022500111,1610612761,"['High Assists', 'High Rebounds', 'High FT Volume']",83.86,1.47
0022500111,1610612742,"['High Assists', 'High FT Volume']",83.86,1.73
0022500112,1610612757,"['High Rebounds', 'High FT Volume']",82.78,1.25
0022500008,1610612743,"['High Rebounds', 'High FT Volume']",80.38,1.57
0022500114,1610612755,"['High Rebounds', 'High FT Volume']",86.4,1.56
0022500114,1610612753,"['High Rebounds', 'High FT Volume']",86.4,1.45
0022500115,1610612741,"['High Assists', 'High Rebounds', 'High FT Volume']",78.52,1.68
0022500115,1610612737,"['High Assists', 'High FT Volume']",78.52,1.52
0022500116,1610612745,"['High Assists', 'High FT Volume']",63.68,2.09
0022500118,1610612761,"['High Assists', 'High FT Volume']",75.48,1.39
0022500118,1610612759,"['High Assists', 'High FT Volume']",75.48,1.58
0022500120,1610612762,"['High Rebounds', 'High FT Volume']",91.24,1.47
0022500120,1610612756,"['High Assists', 'High FT Volume']",91.24,1.51
0022500121,1610612763,"['High Assists', 'High FT Volume']",76.26,1.57
0022500121,1610612744,"['High Assists', 'High FT Volume']",76.26,1.7
0022500122,1610612747,"['High Rebounds', 'High FT Volume']",85.52,1.18
0022500123,1610612764,"['High Assists', 'High Rebounds', 'High FT Volume']",90.26,1.54
0022500124,1610612748,"['High Assists', 'High FT Volume']",83.9,1.83
0022500125,1610612752,"['High Rebounds', 'High FT Volume']",79.34,1.29
0022500128,1610612738,"['High Assists', 'High Rebounds', 'High FT Volume']",79.06,1.63
0022500129,1610612765,"['High Assists', 'High Rebounds', 'High FT Volume']",80.78,1.63
0022500130,1610612751,"['High Rebounds', 'High FT Volume']",73.28,1.32
0022500130,1610612737,"['High Assists', 'High FT Volume']",73.28,1.9
0022500131,1610612761,"['High Assists', 'High FT Volume']",84.66,1.49
0022500131,1610612745,"['High Assists', 'High Rebounds', 'High FT Volume']",84.66,1.58
0022500132,1610612758,"['High Assists', 'High FT Volume']",77.18,1.42
0022500132,1610612741,"['High Assists', 'High FT Volume']",77.18,1.68
0022500133,1610612754,"['High Rebounds', 'High FT Volume']",78.3,1.23
0022500134,1610612743,"['High Assists', 'High Rebounds']",62.46,1.9
0022500135,1610612762,"['High Assists', 'High Rebounds', 'High FT Volume']",83.22,1.55
0022500135,1610612757,"['High Assists', 'High Rebounds', 'High FT Volume']",83.22,1.7
0022500136,1610612750,"['High Assists', 'High FT Volume']",79.68,1.46
0022500136,1610612747,"['High Assists', 'High Rebounds', 'High FT Volume']",79.68,1.44
0022500138,1610612753,"['High Assists', 'High Rebounds', 'High FT Volume']",74.86,1.68
0022500139,1610612744,"['High Rebounds', 'High FT Volume']",82.08,1.33
0022500140,1610612764,"['High Rebounds', 'High FT Volume']",67.4,1.51
0022500140,1610612760,"['High Assists', 'High Rebounds', 'High FT Volume']",67.4,2.01
0022500020,1610612737,"['High Assists', 'High Rebounds', 'High FT Volume']",75.16,1.67
0022500021,1610612755,"['High Rebounds', 'High FT Volume']",73.02,1.39
0022500023,1610612752,"['High Rebounds', 'High FT Volume']",78.76,1.54
0022500023,1610612741,"['High Assists', 'High FT Volume']",78.76,1.77
0022500024,1610612763,"['High Assists', 'High FT Volume']",77.44,1.66
0022500027,1610612746,"['High Assists', 'High FT Volume']",74.5,1.63
0022500027,1610612740,"['High Assists', 'High Rebounds', 'High FT Volume']",74.5,1.73
0022500142,1610612758,"['High Assists', 'High FT Volume']",77.62,1.58
0022500142,1610612749,"['High Assists', 'High FT Volume']",77.62,1.91
0022500144,1610612754,"['High Rebounds', 'High FT Volume']",88.0,1.31
0022500145,1610612753,"['High Assists', 'High FT Volume']",72.64,1.55
0022500146,1610612745,"['High Assists', 'High Rebounds', 'High FT Volume']",70.74,1.55
0022500147,1610612765,"['High Assists', 'High Rebounds', 'High FT Volume']",77.3,1.51
0022500148,1610612760,"['High Assists', 'High FT Volume']",69.76,2.06
0022500148,1610612740,"['High Rebounds', 'High FT Volume']",69.76,1.45
0022500149,1610612755,"['High Assists', 'High FT Volume']",83.96,1.69
0022500149,1610612751,"['High Rebounds', 'High FT Volume']",83.96,1.15
0022500150,1610612766,"['High Assists', 'High FT Volume']",80.72,1.56
0022500151,1610612737,"['High Assists', 'High FT Volume']",93.16,1.19
0022500152,1610612761,"['High Assists', 'High Rebounds']",76.3,1.4
0022500153,1610612752,"['High Assists', 'High FT Volume']",72.26,1.81
0022500153,1610612741,"['High Assists', 'High Rebounds']",72.26,1.57
0022500154,1610612756,"['High Assists', 'High FT Volume']",70.4,1.72
0022500155,1610612748,"['High Assists', 'High FT Volume']",79.98,1.69
